empresa_de_transporte_marítimo,Nombre ,dirección_empresa,telefono_empresa,Ciudad,tipo_de_empresa
CONS COM DE LA COM NEGRA DE LA CUENCA DEL RIO YURUMANGUI,JESUS ARBEY DIAZ CAICEDO,CALLE 6A # 3A-07 PISO 2 CALIMITA,2413578,Buenaventura,CABOTAJE PRIVADO
CONSOLCARGO LTDA,JHON JAIRO CASTRO LONDOÑO,CALLE 134 # 47-46,4156959,Bogotá,INTERNACIONAL PUBLICO
CONTAINER AMERICAN LINE S.A.S.,ALBERTO ARTURO MENA,CARRERA 13 # 100-33,8275166,Turbo,INTERNACIONAL PUBLICO
CONTI LINES,GUILLERMO MONTOYA OSORIO,AVENIDA DEL FERROCARRIL 1C 119,421 15 81,Santa Marta,INTERNACIONAL PUBLICO
CONTINENTAL LINK GMBH,JOERN BRUSTER,CALLE 100 # 8A-49 PISO 8,6211247,Bogotá,INTERNACIONAL PUBLICO
CONTSHIP CONTAINER LINES LIMITED,JONES MICHEL,CARRERA 11 #  93-53  PISO 8,6011900,Bogotá,INTERNACIONAL PUBLICO
COOPERATIVA AGROINDUSTRIAL DE TIMBIQUI,PEREA ESTACIO MAURO,BARRIO LA MAGDALENA TIMBIQUI CAUCA,3174911223  - 3174277010,Bogotá,CABOTAJE PUBLICO
COOTRANSMART LTDA,MARIA CONCEPCION MONTANO,MULLE TURISTICO,2414802,Buenaventura,INTERNACIONAL PUBLICO
COOTRANSMART LTDA,MARIA CONCEPCION MONTANO,MULLE TURISTICO,2414802,Buenaventura,CABOTAJE PUBLICO
CORPORACIÓN AGROINDUSTRIAL SOCIAL Y AMBIENTAL DEL PACIFICO,GARCIA DE AYARZA ELISEA,CARRERA 14 CALLE 99,827 32 80,Turbo,CABOTAJE PUBLICO
COSCO SHIPPINGLINES CO. LTD. (EX COSCO CONTAINER LINES CO. LTD.),AGENCIA OCEÁNICA S.A.S. OCEANIC,BRR MANGA  AV JIMENEZ 19 49,(095) 660-6216 / 660-5674,Cartagena,INTERNACIONAL PUBLICO
COSIARMA S.P.A.,AGENCIA MARÍTIMA ALTAMAR LTDA.,BRR BOCAGRANDE CR 3 6A 100 ED TORRE EMPRESARIAL PR,(095) 664-0000 / 664-0001,Cartagena,INTERNACIONAL PUBLICO
D AMICO SOCIEDA DI NAVIGAZIONE SPA,GIUSSEPE CATANZARO,EDIFICIO NAUTILUS TRADER CENTER OFICINA 501,655 12 90,Cartagena,INTERNACIONAL PRIVADO
